행정동,도로명주소,지번주소,데이터기준일자,latitude,longitude
목2동,서울특별시 양천구 목동중앙로13나길20-23,서울특별시 양천구 목2동 128-44,2023-04-20,37.5450513257407,126.88038266434
목2동,서울특별시 양천구 목동중앙로13나길69,서울특별시 양천구 목2동 131-54,2023-04-20,37.5440059393533,126.879980594023
목2동,서울특별시 양천구 목동중앙로13나길61,서울특별시 양천구 목2동 131-141,2023-04-20,37.5440594556325,126.880510644454
목2동,서울특별시 양천구 목동중앙로13나길54,서울특별시 양천구 목2동 131-71,2023-04-20,37.5444800012524,126.880292599194
목2동,서울특별시 양천구 목동중앙로13나길42-5,서울특별시 양천구 목2동 128-42,2023-04-20,,
목2동,서울특별시 양천구 목동중앙로13나길34,서울특별시 양천구 목2동 128-57,2023-04-20,37.5452370925778,126.880541806942
목2동,서울특별시 양천구 목동중앙로13다길26-9,서울특별시 양천구 목2동 131-44,2023-04-20,37.5441725709829,126.880996356851
목2동,서울특별시 양천구 목동중앙로13다길26-7,서울특별시 양천구 목2동 131-117,2023-04-20,37.5441108242602,126.881147179001
목2동,서울특별시 양천구 목동중앙로13길 19-43,서울특별시 양천구 목2동 131-114,2023-04-20,37.5448276019768,126.881359342467
목2동,서울특별시 양천구 목동중앙로13나길37,서울특별시 양천구 목2동 128-40,2023-04-20,,
목2동,서울특별시 양천구 목동중앙로13나길45,서울특별시 양천구 목2동 131-105,2023-04-20,,
목2동,서울특별시 양천구 목동중앙북로24길1-16,서울특별시 양천구 목2동 520-40,2023-04-20,37.546154456802,126.878917526366
목2동,서울특별시 양천구 목동중앙북로131,서울특별시 양천구 목2동 516-6,2023-04-20,37.5466200595813,126.877835529988
목2동,서울특별시 양천구 목동중앙북로 112,서울특별시 양천구 목2동 524-1,2023-04-20,37.5461336116179,126.875507394143
목2동,서울특별시 양천구 목동중앙본로93,서울특별시 양천구 목2동 547-14,2023-04-20,37.5440104590632,126.870363232191
목2동,서울특별시 양천구 목동중앙본로27길14,서울특별시 양천구 목2동 547-6,2023-04-20,37.544150953929,126.869734745665
목2동,서울특별시 양천구 목동중앙본로27길37,서울특별시 양천구 목2동 553-21,2023-04-20,37.5443338036411,126.868386846992
목2동,서울특별시 양천구 목동중앙북로8길 132,서울특별시 양천구 목2동 553-15,2023-04-20,37.5444529044853,126.867892708797
목2동,서울특별시 양천구 목동중앙북로8길 130,서울특별시 양천구 목2동 553-14,2023-04-20,37.5444624368747,126.867795943021
목2동,서울특별시 양천구 목동중앙북로8길122,서울특별시 양천구 목2동 553,2023-04-20,37.5444558833069,126.867415295581
목2동,서울특별시 양천구 목동중앙북로8길120-13,서울특별시 양천구 목2동 553-6,2023-04-20,37.5440055512303,126.867243417073
목2동,서울특별시 양천구 목동중앙북로8길129-42,서울특별시 양천구 목2동 500-7,2023-04-20,37.5462818229177,126.868764882637
목2동,서울특별시 양천구 목동중앙북로8길129-26,서울특별시 양천구 목2동 500-5,2023-04-20,37.5456650648689,126.868499815068
목2동,서울특별시 양천구 목동중앙북로10길40,서울특별시 양천구 목2동 500-4,2023-04-20,37.5456223002608,126.868691241086
